season,reception,passing_yards,pass_touchdown,rush_touchdown,interception,fumble_lost,rushing_yards,two_pt,receiving_yards,receive_touchdown,id,fantasy_pts
2001,0,3216.0,12.0,1.0,22.0,4.0,73.0,1.0,0.0,0.0,00-0009311,139.94000000000003
2002,0,3178.0,16.0,4.0,16.0,6.0,57.0,0.0,0.0,0.0,00-0009311,176.82
2003,0,3605.0,26.0,0.0,15.0,4.0,117.0,0.0,0.0,0.0,00-0009311,221.9
2004,0,623.0,5.0,0.0,4.0,1.0,42.0,0.0,0.0,0.0,00-0009311,39.120000000000005
2005,0,99.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,00-0009311,1.36
2006,0,4208.0,21.0,2.0,22.0,9.0,156.0,0.0,0.0,0.0,00-0009311,217.92
2007,1,4066.0,18.0,0.0,21.0,5.0,63.0,0.0,9.0,0.0,00-0009311,190.84000000000003
2008,0,758.0,5.0,0.0,5.0,1.0,26.0,0.0,0.0,0.0,00-0009311,40.92
2010,0,2365.0,16.0,1.0,12.0,1.0,147.0,2.0,0.0,0.0,00-0009311,157.3
2011,0,87.0,1.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,00-0009311,3.2800000000000002
1999,40,0.0,0.0,5.0,0.0,4.0,1210.0,0.0,387.0,2.0,00-0017322,233.7
2000,63,0.0,0.0,7.0,0.0,2.0,1242.0,0.0,613.0,2.0,00-0017322,298.5
2001,11,0.0,0.0,1.0,0.0,0.0,318.0,0.0,107.0,0.0,00-0017322,59.5
1999,22,0.0,0.0,0.0,0.0,0.0,295.0,0.0,173.0,1.0,00-0013785,74.8
2000,0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,00-0013785,2.7
1999,0,1957.0,13.0,2.0,7.0,1.0,87.0,1.0,0.0,0.0,00-0000865,136.98000000000002
2000,0,2489.0,13.0,2.0,15.0,3.0,199.0,0.0,0.0,0.0,00-0000865,147.46
2001,0,2392.0,12.0,0.0,12.0,4.0,45.0,1.0,0.0,0.0,00-0000865,118.18
2003,0,47.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,00-0000865,0.9800000000000002
2005,0,246.0,1.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,00-0000865,20.84
2006,0,477.0,5.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,00-0000865,38.28
2007,0,232.0,2.0,0.0,3.0,0.0,-7.0,0.0,0.0,0.0,00-0000865,10.580000000000002
2009,0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0000865,0.68
2010,0,352.0,3.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,00-0000865,23.08
2011,0,208.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,00-0000865,6.12
2012,0,475.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,00-0000865,15.0
1999,13,0.0,0.0,2.0,0.0,1.0,542.0,0.0,77.0,0.0,00-0007436,84.9
1999,34,0.0,0.0,0.0,0.0,1.0,38.0,0.0,228.0,1.0,00-0002027,64.6
2000,2,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,00-0002027,3.5
1999,21,0.0,0.0,0.0,0.0,1.0,124.0,0.0,151.0,1.0,00-0014450,52.5
2000,12,0.0,0.0,0.0,0.0,0.0,3.0,0.0,73.0,0.0,00-0014450,19.6
2001,60,0.0,0.0,3.0,0.0,1.0,154.0,0.0,466.0,0.0,00-0014450,138.0
